aliquot.id,icgc.donor.id,T.specimen.id,N.specimen.id
0bfd1068-3fcd-a95b-e050-11ac0c4860c3,DO51959,SP114951,SP114947
0bfd1043-7ec1-aaec-e050-11ac0c482f39,DO51960,SP114958,SP114955
0bfd1043-817c-e3e4-e050-11ac0c4860c5,DO51960,SP114960,SP114955
0bfd1068-3fcf-a95b-e050-11ac0c4860c3,DO51960,SP114953,SP114955
0bfd1068-3fd5-a95b-e050-11ac0c4860c3,DO51960,SP114957,SP114955
0bfd1043-817e-e3e4-e050-11ac0c4860c5,DO51962,SP114962,SP114964
0bfd1043-8183-e3e4-e050-11ac0c4860c5,DO51962,SP114966,SP114964
0bfe2ac9-0af3-c248-e050-11ac0d487e1c,DO51962,SP114968,SP114964
0bfd1043-7ebf-aaec-e050-11ac0c482f39,DO51964,SP114974,SP114972
0bfd1068-3fd8-a95b-e050-11ac0c4860c3,DO51964,SP114986,SP114972
0bfd1068-3fdd-a95b-e050-11ac0c4860c3,DO51964,SP114971,SP114972
0bfe2ac9-0af5-c248-e050-11ac0d487e1c,DO51964,SP114982,SP114972
0bfe2ac9-0af8-c248-e050-11ac0d487e1c,DO51964,SP114973,SP114972
0bfebf9f-c779-e57d-e050-11ac0d487827,DO51964,SP114984,SP114972
0bfebf9f-c77f-e57d-e050-11ac0d487827,DO51964,SP114978,SP114972
0c0038ff-6cc4-b0b0-e050-11ac0d483d73,DO51964,SP114980,SP114972
0c0038ff-6cc6-b0b0-e050-11ac0d483d73,DO51964,SP114976,SP114972
0bfd1043-8180-e3e4-e050-11ac0c4860c5,DO51965,SP114996,SP114989
0bfd1043-8181-e3e4-e050-11ac0c4860c5,DO51965,SP114987,SP114989
0bfd1068-3fdf-a95b-e050-11ac0c4860c3,DO51965,SP114991,SP114989
0bfd1068-3fe1-a95b-e050-11ac0c4860c3,DO51965,SP114992,SP114989
0bfebf9f-c77d-e57d-e050-11ac0d487827,DO51965,SP114994,SP114989
c3cb64b3-842b-4b42-8c42-020a0206eb06,DO52502,SP116247,SP116238
cd29af7e-d670-4d8e-83e2-da6e52abda71,DO52502,SP116225,SP116238
4508ce0a-5a2e-4502-98e9-2fd76c4eebef,DO52503,SP116226,SP116239
74db46a8-a499-4951-af33-1d53b7d1c9b4,DO52503,SP116248,SP116239
5df0aab4-0be2-4da3-a4b7-a10fca09a4ba,DO52509,SP116249,SP116245
5fe8a231-bbac-4f91-a47a-0de4fee752d3,DO52509,SP116232,SP116245
62ea1264-47b6-4a6b-9fa6-779837f8e905,DO52509,SP116251,SP116245
84aa2983-714b-49fd-af93-f18ed4d6a6cb,DO52509,SP116253,SP116245
f1d73c2f-3d7d-4a0f-871b-b3bf76d865dc,DO52509,SP116252,SP116245
fd163b56-1c2d-4e63-9fad-ba3221ae274b,DO52509,SP116250,SP116245
052015bc-8c24-467c-8ff7-9e0dc4ad39fd,DO52510,SP116254,SP116246
089be98d-c3c9-4fb4-aef2-7a8578a91d51,DO52510,SP116256,SP116246
1558629a-770a-4dcb-b0bf-9a8bcea9d80b,DO52510,SP116258,SP116246
3b8ab548-6669-4142-9612-cafded0d7a23,DO52510,SP116255,SP116246
95730d8b-327a-402c-a8bf-d71370f777a7,DO52510,SP116233,SP116246
9cdb1905-8b0f-48bd-ba37-11e7ac9646a0,DO52510,SP116257,SP116246
122bf0a9-8052-49da-a9d7-0e5de9ab7032,DO52511,SP116259,SP116300
1bd47e40-d708-4ca2-b4b3-eb8d996c916b,DO52511,SP116261,SP116300
4c755527-3b5d-4d36-822d-990aa1003d6a,DO52511,SP116260,SP116300
6ff16b0d-5966-4119-9bec-c9ebff804a37,DO52511,SP116263,SP116300
b0f3087b-6f9c-47e9-b487-6726af1cb90b,DO52511,SP116262,SP116300
1d6c9181-a02f-4c35-85b3-65dc5808f50e,DO52512,SP116268,SP116302
280a069c-38e5-4300-a15c-2612301b70e3,DO52512,SP116266,SP116302
2b54d668-7585-4bf4-9fdd-aea3c5cd4fa4,DO52512,SP116264,SP116302
2f79fe89-9d24-4fbe-ba5b-0ff6c3c4d663,DO52512,SP116269,SP116302
7d6fb1a7-7742-4b8c-9903-abff706240b5,DO52512,SP116265,SP116302
7e10e325-16d2-42df-b957-df4d3a9477d0,DO52512,SP116267,SP116302
0bd3a230-531e-44aa-9999-b8ed8da0176b,DO52513,SP116274,SP116304
339a2c94-55c9-4113-a706-b0971fa2784f,DO52513,SP116275,SP116304
63faa59e-6649-412e-823a-338d0662ec72,DO52513,SP116272,SP116304
9b75735b-705d-4ebf-92a0-fbb190b95285,DO52513,SP116270,SP116304
d1cebf4a-4127-47ee-85cb-465fca2ac445,DO52513,SP116273,SP116304
db37739d-af50-4e63-9147-1a7d25630ac6,DO52513,SP116271,SP116304
7a86abdc-d554-43bd-ad47-22d439c930ef,DO52514,SP116276,SP116306
f3720205-dc76-4101-8a56-72043fc896b5,DO52514,SP116278,SP116306
f92fde51-6a19-6641-e040-11ac0c484074,DO52726,SP116784,SP116785
f93dd46d-4611-e84e-e040-11ac0c483323,DO52726,SP116786,SP116785
f8e61a02-90ec-96fd-e040-11ac0d481b5e,DO52727,SP116788,SP116787
f8f07989-2e2e-30f3-e040-11ac0d484490,DO52727,SP116789,SP116787
f901353f-fdeb-5a55-e040-11ac0c482e89,DO52729,SP116794,SP116792
f90a074e-d82f-f6bb-e040-11ac0d487334,DO52729,SP116791,SP116792
f91d1645-9b68-edbb-e040-11ac0c4854d8,DO52731,SP116795,SP116796
f926087f-0bec-1316-e040-11ac0c480a58,DO52731,SP116797,SP116796
f8e61a02-909d-a906-e040-11ac0d481b6e,DO52732,SP116802,SP116800
f8efa5ad-3a4d-39d6-e040-11ac0c480132,DO52732,SP116799,SP116800
f9020478-c741-6776-e040-11ac0d481228,DO52733,SP116806,SP116805
f90cab09-6797-eccb-e040-11ac0d486aa3,DO52733,SP116804,SP116805
f8e61a02-654c-c226-e040-11ac0d481b60,DO52735,SP116815,SP116814
f93abbbf-5e13-9b85-e040-11ac0d485718,DO52735,SP116812,SP116814
f8f7f274-dd98-3bb0-e040-11ac0c483fcd,DO52736,SP116820,SP116816
f903cfe2-c082-1bf6-e040-11ac0d4809f7,DO52736,SP116818,SP116816
f90d51f8-3bc4-2e66-e040-11ac0d484d19,DO52736,SP116819,SP116816
f91faa2e-ea53-bef4-e040-11ac0d485f5d,DO52737,SP116826,SP116822
f92b2c52-ed64-4594-e040-11ac0d48425c,DO52737,SP116823,SP116822
f938b6f4-a457-c624-e040-11ac0c486fad,DO52737,SP116824,SP116822
f8e61a02-8c9e-aaee-e040-11ac0d481b6a,DO52738,SP116830,SP116827
f8fb791c-08b4-b6e1-e040-11ac0d4868f3,DO52738,SP116829,SP116827
f8e61a02-938b-9428-e040-11ac0d481b6c,DO52739,SP116834,SP116833
f8f0136b-09ec-d079-e040-11ac0c4842e7,DO52739,SP116835,SP116833
f9052bfc-94a0-cb29-e040-11ac0c48284a,DO52740,SP116837,SP116836
f90f8204-4d65-04fa-e040-11ac0c4841bb,DO52740,SP116839,SP116836
f92268fe-7a92-51e8-e040-11ac0d48733a,DO52742,SP116848,SP116845
f92c8821-daba-3727-e040-11ac0d480224,DO52742,SP116846,SP116845
f8e61a02-6e5e-c8e2-e040-11ac0d481b70,DO52743,SP116853,SP116850
f8f024e5-7096-3047-e040-11ac0d481c0f,DO52743,SP116852,SP116850
f942b732-7c0b-7ec6-e040-11ac0c483f86,DO52743,SP116851,SP116850
f9031d03-def1-24b4-e040-11ac0c486570,DO52744,SP116857,SP116855
f90dbdbf-f8cd-e0d8-e040-11ac0c482576,DO52744,SP116856,SP116855
f920ef57-c942-d2e1-e040-11ac0d481706,DO52745,SP116860,SP116859
f92a78d1-90ff-70c8-e040-11ac0d485eca,DO52745,SP116862,SP116859
f8e61a02-8fbe-a9af-e040-11ac0d481b64,DO52747,SP116868,SP116864
f93f4445-6f19-403c-e040-11ac0d48556f,DO52747,SP116866,SP116864
f8f61e36-b934-9410-e040-11ac0c4804cc,DO52749,SP116871,SP116870
f9012277-55c4-2486-e040-11ac0c48236f,DO52749,SP116872,SP116870
f9116dda-19f4-9e1b-e040-11ac0c4872b8,DO52750,SP116878,SP116874
f91a9af2-7909-099e-e040-11ac0c484205,DO52750,SP116876,SP116874
f8e61a02-92b1-947e-e040-11ac0d481b68,DO52751,SP116885,SP116879
f939f757-a415-ad44-e040-11ac0d4868e5,DO52751,SP116881,SP116879
f8f9d9b8-abdd-1afb-e040-11ac0d480523,DO52752,SP116889,SP116887
f9039bd6-8fa6-37cb-e040-11ac0d486d06,DO52752,SP116888,SP116887
f91661d6-a2b5-fac2-e040-11ac0d4852fd,DO52753,SP116893,SP116890
f920200e-f349-3730-e040-11ac0d4825cc,DO52753,SP116891,SP116890
f92b8fda-350b-17d5-e040-11ac0c480ce8,DO52754,SP116897,SP116894
f937fc8b-6fa7-12fd-e040-11ac0d4850f9,DO52754,SP116896,SP116894
f8e61a02-8c03-ad45-e040-11ac0d481b62,DO52756,SP116901,SP116899
f8f0a423-1a3e-4fcc-e040-11ac0c481cb6,DO52756,SP116902,SP116899
f901c7f7-891e-8ec1-e040-11ac0c480829,DO52757,SP116904,SP116903
f90b298a-0546-6c36-e040-11ac0c487a0b,DO52757,SP116905,SP116903
f91bde65-233d-2218-e040-11ac0c480a33,DO52758,SP116909,SP116907
f925f24b-bffd-89ab-e040-11ac0d48682f,DO52758,SP116910,SP116907
f8e61a06-42fa-e42c-e040-11ac0d481b72,DO52760,SP116913,SP116912
f93c9e35-c76c-2b59-e040-11ac0d485dee,DO52760,SP116915,SP116912
f8efc19a-1e4b-e1b0-e040-11ac0c48104e,DO52762,SP116920,SP116922
f8fae6e5-93b5-7233-e040-11ac0c4830e7,DO52762,SP116923,SP116922
f9101872-d864-c508-e040-11ac0c4818b5,DO52763,SP116925,SP116926
f91ba748-5a05-e738-e040-11ac0c486a08,DO52763,SP116927,SP116926
