Access	File ID	Object ID	File Name	ICGC Donor	Specimen ID	Specimen Type	Sample ID	Repository	Project	Study	Data Type	Experimental Strategy	Format	Size (bytes)
controlled	FI4738	22bcc145-d3b6-5c81-bd25-96c35fa6126d	1525fbcc06c4656b0d62e8d59a36f646.bam	DO48899	SP107372	Normal - blood derived	SA517353	EGA - Hinxton,Collaboratory - Toronto	PBCA-DE	PCAWG			BAM	1.17913130628E11
controlled	FI4662	d5c697e2-3aff-5e7f-8033-ee248c454abb	995299f48fa861692ff4ded79aaed0c5.bam	DO27783	SP59310	Normal - blood derived	SA320882	Collaboratory - Toronto,EGA - Hinxton	MALY-DE	PCAWG			BAM	1.43018055805E11
controlled	FI4303	1e3fd2a0-7269-5fcb-af2c-4be95fa4362f	72d8e56c47981514fcb9a77e5f174423.bam	DO35937	SP79240	Primary tumour - solid tissue	SA413646	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	1.25929238633E11
controlled	FI28580	8ed2d85b-9f54-5623-bc18-76901010c173	c01203cee05c02f59304c8c0f09ceb55.bam	DO45181	SP99083	Normal - blood derived	SA501613	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.09270205588E11
controlled	FI28581	ba761fb8-b862-55b1-829a-e6783818b3cc	6559869eca3fce04ad1da2315d71bbe4.bam	DO45181	SP99085	Primary tumour - solid tissue	SA501615	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.23520088079E11
controlled	FI4121	5fe50a25-ce03-5d23-8c14-843e68e97d31	40efcb304190604b5e1240910314b1e9.bam	DO52704	SP116741	Normal - blood derived	SA542176	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	CLLE-ES	PCAWG			BAM	1.15562347047E11
controlled	FI28712	283644cc-a027-5296-b54c-301c363c8c17	cfbac285540eb53f629b9abb60b5d12c.bam	DO52760	SP116912	Normal - blood derived	SA542284	Collaboratory - Toronto,EGA - Hinxton,AWS - Virginia	CMDI-UK	PCAWG			BAM	9.5449678273E10
controlled	FI53089	59d1ba07-fdf8-5c54-b841-f04f628b03a6	8810b712d7bdf7a5c3a3f81d4d158da7.bam	DO46744	SP102485	Primary tumour - solid tissue	SA506648	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	PAEN-AU	PCAWG			BAM	1.45007174015E11
controlled	FI13977	fd93dfd3-d85d-5f90-8e25-c8a8c26a9b54	22678cebb6115f6e83feb242d90e39e0.bam	DO50329	SP111088	Primary tumour - solid tissue	SA528914	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	ESAD-UK	PCAWG			BAM	1.38884072746E11
controlled	FI244375	dfd53607-1f78-5437-a939-ec2e404bf953	6ac111863a7fc7a0ac5bb6555f7334e6.bam	DO220868	SP124351	Metastatic tumour - metastasis local to lymph node	SA557400	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	MELA-AU	PCAWG			BAM	1.61032050797E11
controlled	FI13428	f0d628e6-1706-5c81-9777-1ef49b9adc5c	4e8a439a5d8c3ef77174684dfa3590bc.bam	DO46420	SP101732	Recurrent tumour - other	SA505258	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	OV-AU	PCAWG			BAM	1.43217629199E11
controlled	FI13789	938ef410-e08e-59eb-918d-1b87c296ca96	5b517c7b4f60338c9263514c10cd65ff.bam	DO35258	SP117216	Primary tumour - other	SA520169	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	PACA-CA	PCAWG			BAM	2.09094225496E11
controlled	FI27682	574dbe6d-b1df-5783-89d2-2f656384da52	e0b992d6bec14ef4b4ba4b7f07370a11.bam	DO45231	SP99183	Normal - blood derived	SA501459	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	9.4919416811E10
controlled	FI27625	6c4fd143-90d7-5c63-9b4d-7734341a83df	68076d4ceba4b3d7cc8fe0dcf9b2d6c6.bam	DO46844	SP102783	Primary tumour - solid tissue	SA507213	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	2.03268043645E11
controlled	FI27912	8b8c691a-9877-5be4-aae9-195bc3c9d09e	0c393b10d2e42f65366525698ce07868.bam	DO23513	SP50106	Normal - blood derived	SA270389	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	9.6472014547E10
controlled	FI52919	47f82667-8f40-5513-b174-071ea53f3f9d	1450d7cb4ab8c60be86146e108979e0b.bam	DO47076	SP103479	Normal - blood derived	SA507279	Collaboratory - Toronto,EGA - Hinxton,AWS - Virginia	RECA-EU	PCAWG			BAM	1.53803423777E11
controlled	FI52937	da139621-08e0-5654-a03f-ffd72423540f	284fdcc3019f8581aa27df0316d13e86.bam	DO46921	SP103041	Normal - blood derived	SA507418	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.47505396307E11
controlled	FI5897	5be74755-cc33-506d-ba81-4c0c385a1751	9d492e8ddbbf9e5e4a58135d13bfae4f.bam	DO36042	SP79698	Normal - blood derived	SA414169	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	9.1663327636E10
controlled	FI13280	194a7795-3dd8-566f-bc99-1107d4ac5351	6c348f36d25fd85868fc85ecd8a126ee.bam	DO51476	SP125756	Primary tumour - other	SA533615	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	PACA-CA	PCAWG			BAM	1.63210170846E11
controlled	FI13281	7bb81555-c2b1-5c1c-8828-b2fbd7344fb1	059003bf602867774d332d6789387b80.bam	DO35539	SP78706	Normal - blood derived	SA413460	EGA - Hinxton,Collaboratory - Toronto	PBCA-DE	PCAWG			BAM	1.60213858166E11
controlled	FI27818	517b183d-897d-5c05-bf87-ec7c2ef3baa6	2ec6b917978ffd7545a56250b6522199.bam	DO218351	SP118688	Normal - solid tissue	SA544937	Collaboratory - Toronto,AWS - Virginia,EGA - Hinxton	BTCA-SG	PCAWG			BAM	1.64111236961E11
controlled	FI5997	469fe5b4-fe50-5de0-8085-6a64e9328c8d	1e4ee6a031f54daaecbc0822721fe17f.bam	DO45307	SP99341	Primary tumour - solid tissue	SA501626	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	LIRI-JP	PCAWG			BAM	1.55473740317E11
controlled	FI5839	480b5423-2250-5cf1-9d30-d28981845ca9	12e1de3832a08254f59f23bd2369cd96.bam	DO51171	SP118201	Normal - solid tissue	SA544425	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	PAEN-AU	PCAWG			BAM	6.4826556556E10
controlled	FI5802	0e89c29b-75ea-5e59-b759-cb4feb86bc8f	7a99bb623fbe3fb791ec8fac749087a5.bam	DO7024	SP115064	Primary tumour - blood derived (peripheral blood)	SA538980	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	CLLE-ES	PCAWG			BAM	9.3418522222E10
controlled	FI52249	08d85f2d-6019-50e7-b122-c62827b36570	e259aa7ec22b74e3b4559e2de8c81ea3.bam	DO33376	SP71480	Primary tumour - solid tissue	SA410918	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	PACA-AU	PCAWG			BAM	2.01583534259E11
controlled	FI27545	a23c5b5c-48fa-55c9-b1c4-6765d4cf19fc	76996b43202368059fb4192c4dc42ea5.bam	DO35753	SP78951	Primary tumour - solid tissue	SA414199	EGA - Hinxton,Collaboratory - Toronto	PBCA-DE	PCAWG			BAM	1.09283957118E11
controlled	FI5606	9d7abec1-1c0d-56e2-bd16-cc644588b24f	00e9c36d0ad263811cbb20d20a930ca8.bam	DO45161	SP99045	Primary tumour - solid tissue	SA501575	EGA - Hinxton,Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	1.18519159461E11
controlled	FI27452	6fc93e8f-9cb3-534b-9c2d-a975c2c89a7d	c5eb2f08043ca117934dd2f21bda7fcc.bam	DO36051	SP79354	Primary tumour - solid tissue	SA413798	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	1.26307099551E11
controlled	FI5528	ea60864e-1b3d-52a8-9e90-9606c29175b9	f74a95bbb1278d33ca910883c1bdf1e6.bam	DO51953	SP114901	Metastatic tumour - lymph node	SA538868	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	PRAD-UK	PCAWG			BAM	1.58541413374E11
controlled	FI5263	2b8d3851-965b-5867-a789-5e549cfd454a	c24d16491a5f62490b9a14add33e8801.bam	DO217865	SP118184	Normal - blood derived	SA544408	Collaboratory - Toronto,EGA - Hinxton	BRCA-EU	PCAWG			BAM	1.11791084636E11
controlled	FI27185	9901ea4f-9f30-5427-87c8-a7bde1ce1be0	e1adafcc2440e2414ca82bc26bdf8347.bam	DO50815	SP112212	Normal - blood derived	SA529785	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	LIRI-JP	PCAWG			BAM	8.8156006562E10
controlled	FI803098	ae4ae8e2-5c23-51e3-859e-a657c3bfaf5b	mini-abca37398ecaf8947b48eaa60680586a.bam	DO52631	SP116559	Primary tumour - solid tissue	SA542006	Collaboratory - Toronto,AWS - Virginia	BOCA-UK	PCAWG			BAM	2.38667959E8
controlled	FI803058	6f7f1bda-d039-5b44-989f-92109a7dc69e	mini-ec1dbea57e3bbb155f7ea6f42cfd6b91.bam	DO52618	SP116529	Normal - blood derived	SA541889	AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.55278761E8
controlled	FI803062	8d6cc1d9-4ec4-5cfb-b581-3c1f6da87e2c	mini-73f825482719b1f8069820746de863ef.bam	DO52569	SP116394	Normal - solid tissue	SA541955	AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.18423126E8
controlled	FI48477	6d786377-4d00-514d-b11a-320f6bdbfbd7	a92fe26db1550200b27af2cf9879ecbf.bam	DO46384	SP101658	Primary tumour - solid tissue	SA505795	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	OV-AU	PCAWG			BAM	1.38760149958E11
controlled	FI48363	1fa23bb9-c2d0-54c0-aaa2-76649aea70f3	fd94167f12ed1e89d7a49b9901963a8e.bam	DO52509	SP116253	Primary tumour - solid tissue	SA541733	Collaboratory - Toronto,EGA - Hinxton	EOPC-DE	PCAWG			BAM	1.00853456882E11
controlled	FI48318	24027cd8-9c53-53ec-81a3-b597860f9387	fd0a883ae68333b311d9d31c3792f06f.bam	DO51172	SP119095	Normal - solid tissue	SA545358	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	PAEN-AU	PCAWG			BAM	7.0016376053E10
controlled	FI803879	98d596f5-b8f4-50a8-bd3e-b4e7fd874843	mini-6ec712be863e8d0eefce4eaa68c32804.bam	DO52599	SP116480	Normal - blood derived	SA541937	AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	9.63214908E8
controlled	FI803777	7de36e2c-c2c3-5d86-bf58-22f156e353a5	mini-febc6e5fa113b0ed1025b4fea982b145.bam	DO52550	SP116355	Primary tumour - solid tissue	SA541836	AWS - Virginia,Collaboratory - Toronto	BRCA-UK	PCAWG			BAM	3.53026723E8
controlled	FI803791	cde05b97-c074-5c3c-92f9-a060e4a8e6c1	mini-83f31e082cc17e5b14cf8b07afdc89ca.bam	DO1001	SP2162	Normal - blood derived	SA6188	Collaboratory - Toronto,AWS - Virginia	BRCA-UK	PCAWG			BAM	1.76337969E8
controlled	FI803741	446073ca-c841-539c-a572-012e6f8c539e	mini-56e9ea4825d86f21a3fa9804bc198e86.bam	DO52621	SP116536	Primary tumour - solid tissue	SA541990	AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.67975408E8
controlled	FI803753	76467c9e-a97f-5a67-8bc6-61e0d4391ac5	mini-561249f63b7b65807ce0aeec745572e2.bam	DO52645	SP116596	Primary tumour - solid tissue	SA541904	AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	2.41331669E8
controlled	FI33431	a571b72a-e098-5e28-b279-5e45f1f34944	d0f32a086b3ddce152d4678795eeecc6.bam	DO48940	SP107515	Normal - blood derived	SA517325	EGA - Hinxton,Collaboratory - Toronto	PBCA-DE	PCAWG			BAM	1.15047491981E11
